"Average",,,,,,,,,,,,,"E0",,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - engr.","eyy [1] - engr.","exy [1] - engr.","e1 [1] - engr.","e2 [1] - engr.","gamma [1] - engr.","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
86,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.435191,0.270395,-0.575368,-0.000205804,0.000363619,-0.000123486,0.00053024,-0.000372426,-0.950836,0.000649634,0.00650792,10.0243,10.0178
87,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.437024,0.270574,-0.575201,-0.000216737,0.000365274,-0.000146495,0.000539277,-0.000390741,-0.868737,0.000692304,0.00693537,10.0247,10.0178
88,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.439259,0.269317,-0.572417,-0.00020187,0.000375836,-9.09197e-05,0.000572961,-0.000398995,-0.725043,0.000710606,0.00711872,10.0249,10.0178
89,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.435405,0.272569,-0.574201,-0.000228626,0.000360917,-0.000120282,0.000562954,-0.000430664,-0.907335,0.00070052,0.00701768,10.0248,10.0178
90,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.437008,0.269432,-0.572813,-0.000231484,0.000375664,-8.62381e-05,0.000578866,-0.000434685,-0.808924,0.000736504,0.00737816,10.0252,10.0178
91,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.436262,0.271438,-0.577013,-0.000219218,0.000371029,-0.000102032,0.000594164,-0.000442354,-0.796662,0.000735454,0.00736764,10.0252,10.0178
92,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.43754,0.27653,-0.582775,-0.000203411,0.000373913,-0.000157807,0.000613831,-0.000443329,-0.966854,0.000770459,0.00771831,10.0255,10.0178
93,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.439019,0.273227,-0.583801,-0.000210243,0.000354225,-8.88234e-05,0.000606168,-0.000462186,-0.783363,0.000774246,0.00775625,10.0256,10.0178
94,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.441039,0.274921,-0.580976,-0.000260716,0.000323772,-9.47751e-05,0.000575787,-0.000512731,-0.892587,0.000716442,0.00717718,10.025,10.0178
95,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.442618,0.278767,-0.576554,-0.000255004,0.000335536,-0.000151101,0.000606394,-0.000525863,-0.902902,0.000763895,0.00765256,10.0255,10.0178
96,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.439557,0.276638,-0.58382,-0.000258298,0.000375669,-0.000110909,0.000637371,-0.00052,-0.915273,0.00082262,0.00824085,10.0261,10.0178
