"Average",,,,,,,,,,,,,"E0",,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - engr.","eyy [1] - engr.","exy [1] - engr.","e1 [1] - engr.","e2 [1] - engr.","gamma [1] - engr.","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
77,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0660893,0.274803,-0.593726,-0.00019262,0.000551223,-0.000111503,0.000584228,-0.000225626,-0.902349,0.000623052,0.00623464,10.0129,10.0066
78,-6.1597e-11,-6.61092e-09,3.90392e-12,0.066306,0.274526,-0.599254,-0.000140807,0.000609227,-0.000188324,0.000646916,-0.000178496,-1.07217,0.000697486,0.00697948,10.0136,10.0066
79,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0659104,0.278808,-0.602738,-0.000223748,0.000574258,-0.000125942,0.000601873,-0.000251364,-1.04779,0.000683465,0.00683917,10.0135,10.0066
80,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0668876,0.278201,-0.597008,-0.000192441,0.000586954,-0.000106892,0.000622544,-0.000228031,-0.87712,0.000718472,0.00718947,10.0138,10.0066
81,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0649906,0.278809,-0.599804,-0.000216142,0.000612574,-0.000122662,0.000651209,-0.000254776,-0.886274,0.000731969,0.00732453,10.0139,10.0066
82,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0662625,0.277512,-0.60187,-0.000192839,0.000644884,-0.000141394,0.000691643,-0.000239598,-1.00108,0.000751553,0.0075205,10.0141,10.0066
83,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0644273,0.281487,-0.602702,-0.000162502,0.000628925,-0.000109882,0.000685597,-0.000219175,-0.812185,0.000818589,0.00819131,10.0148,10.0066
84,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0636313,0.281263,-0.602826,-0.000273674,0.000610878,-8.86936e-05,0.000655263,-0.000318059,-0.767399,0.000770956,0.00771467,10.0143,10.0066
85,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0636538,0.284432,-0.604284,-0.000217507,0.000636779,-0.000167248,0.000696341,-0.00027707,-1.03965,0.000811629,0.00812166,10.0147,10.0066
86,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0630905,0.285445,-0.60664,-0.000228157,0.000627292,-0.000140697,0.000695713,-0.000296578,-1.03877,0.000786406,0.00786927,10.0145,10.0066
87,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0641577,0.283646,-0.610021,-0.00029283,0.000613049,-0.00017389,0.000678748,-0.000358529,-1.06493,0.000779671,0.00780187,10.0144,10.0066
88,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0623269,0.285884,-0.611049,-0.00023175,0.000671469,-0.000182331,0.000752688,-0.000312969,-1.07841,0.000850234,0.00850797,10.0151,10.0066
89,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0638178,0.287069,-0.610799,-0.000257361,0.000692509,-0.000175081,0.000767917,-0.000332768,-1.05094,0.000874447,0.00875026,10.0154,10.0066
90,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0629174,0.288914,-0.614498,-0.000248472,0.000684008,-0.000170435,0.000784578,-0.000349042,-0.962495,0.000885826,0.00886412,10.0155,10.0066
91,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0632632,0.289482,-0.616539,-0.000241835,0.00069403,-0.000213643,0.000803003,-0.000350807,-1.07738,0.000924888,0.009255,10.0159,10.0066
92,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0634717,0.291038,-0.614307,-0.00024223,0.000726936,-0.000184276,0.000832679,-0.000347974,-1.06413,0.000941793,0.00942417,10.016,10.0066
93,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0628223,0.292804,-0.614646,-0.000313291,0.000724834,-0.000158524,0.000819901,-0.000408359,-1.00821,0.000943329,0.00943953,10.0161,10.0066
94,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0622776,0.293116,-0.610833,-0.000310827,0.000694583,-0.000210973,0.000805465,-0.000421709,-1.1253,0.000950695,0.00951324,10.0161,10.0066
95,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0633895,0.294378,-0.61678,-0.000251019,0.000723026,-0.00017295,0.000831099,-0.000359092,-0.980173,0.000972306,0.0097295,10.0163,10.0066
96,-6.1597e-11,-6.61092e-09,3.90392e-12,0.064478,0.294477,-0.618119,-0.000272501,0.000730759,-0.000183315,0.000850988,-0.00039273,-1.06964,0.0010137,0.0101437,10.0168,10.0066
97,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0663666,0.29689,-0.621872,-0.000279367,0.000748685,-0.000207756,0.000891536,-0.000422219,-1.09312,0.00100848,0.0100915,10.0167,10.0066
98,-6.1597e-11,-6.61092e-09,3.90392e-12,0.06568,0.297454,-0.622457,-0.000200341,0.000777575,-0.000194404,0.000918306,-0.000341073,-1.10319,0.00108162,0.0108234,10.0174,10.0066
99,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0639327,0.300811,-0.624982,-0.000305104,0.000774492,-0.000185516,0.000909697,-0.00044031,-1.10401,0.00103076,0.0103145,10.0169,10.0066
100,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0654917,0.297278,-0.625732,-0.000310229,0.000819956,-0.000114424,0.000957524,-0.000447797,-0.810071,0.00113796,0.0113871,10.018,10.0066
101,-6.1597e-11,-6.61092e-09,3.90392e-12,0.064326,0.301376,-0.626158,-0.000295535,0.000794972,-0.000149814,0.000954843,-0.000455406,-0.936401,0.00113591,0.0113666,10.018,10.0066
102,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0654687,0.300488,-0.627619,-0.000329681,0.000795206,-0.000210398,0.000955522,-0.000489997,-1.04568,0.00113422,0.0113497,10.018,10.0066
103,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0653004,0.301047,-0.628706,-0.000329175,0.000804047,-0.000184358,0.000966073,-0.000491201,-1.05376,0.00114846,0.0114922,10.0181,10.0066
104,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0683321,0.301067,-0.632088,-0.000327122,0.000816842,-0.000202377,0.000994146,-0.000504426,-1.1861,0.00117368,0.0117446,10.0184,10.0066
105,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0667805,0.307187,-0.631817,-0.000326649,0.000810999,-0.000148777,0.00100147,-0.000517123,-0.94744,0.00118612,0.011869,10.0185,10.0066
106,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0638585,0.308041,-0.633708,-0.000326516,0.000832184,-0.000146826,0.00102762,-0.000521954,-0.916352,0.00119541,0.011962,10.0186,10.0066
107,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0651252,0.308835,-0.632424,-0.000344969,0.000843319,-0.000165648,0.00103808,-0.000539727,-0.902993,0.00123366,0.0123447,10.019,10.0066
108,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0645981,0.308819,-0.631912,-0.00031294,0.000864089,-0.000162811,0.00105393,-0.000502778,-1.03541,0.00123947,0.0124029,10.019,10.0066
109,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0672418,0.310851,-0.635487,-0.000341967,0.000854399,-0.000149944,0.00105832,-0.000545886,-0.997062,0.00127393,0.0127477,10.0194,10.0066
110,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0668703,0.316528,-0.632643,-0.000360578,0.000867877,-0.000175871,0.00109038,-0.000583077,-0.989177,0.00129831,0.0129917,10.0196,10.0066
111,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0703968,0.317269,-0.637911,-0.000349893,0.000876687,-0.000182554,0.00111004,-0.000583245,-0.928813,0.00131042,0.0131129,10.0197,10.0066
112,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0640758,0.320682,-0.630938,-0.00037395,0.000879918,-0.000165983,0.00111132,-0.00060535,-1.03932,0.00131768,0.0131855,10.0198,10.0066
113,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0671312,0.32111,-0.635511,-0.000415438,0.000882909,-0.000234624,0.00111095,-0.000643475,-1.13495,0.00133263,0.0133351,10.02,10.0066
114,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0661873,0.321756,-0.638038,-0.000395636,0.000900004,-0.000165312,0.0011386,-0.000634232,-0.947152,0.00136089,0.0136179,10.0202,10.0066
115,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0663516,0.321954,-0.637514,-0.000390322,0.00093176,-0.000197536,0.00118334,-0.000641907,-1.07245,0.00139964,0.0140056,10.0206,10.0066
116,-6.1597e-11,-6.61092e-09,3.90392e-12,0.0681395,0.323428,-0.643328,-0.000397787,0.000925673,-0.000240814,0.00117989,-0.000652,-1.08346,0.00139275,0.0139367,10.0206,10.0066
