Average,,,,,,,,,,,,,E0,,,
Index [1],X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - engr.,eyy [1] - engr.,exy [1] - engr.,e1 [1] - engr.,e2 [1] - engr.,gamma [1] - engr.,ΔL/L0 [1],ΔL [mm],L1 [mm],L0 [mm]
108,1.74E-09,1.97E-09,2.19E-12,-0.176688,0.29408,-0.629623,-0.000308244,0.00105118,-0.000235497,0.00107583,-0.000332897,-0.994873,0.000979408,0.00978408,9.99958,9.98979
109,1.74E-09,1.97E-09,2.19E-12,-0.177762,0.293353,-0.636763,-0.000276664,0.00107865,-0.000240206,0.00110819,-0.000306204,-0.892618,0.00100391,0.0100289,9.99982,9.98979
110,1.74E-09,1.97E-09,2.19E-12,-0.178734,0.296983,-0.631863,-0.000310758,0.00112141,-0.000263157,0.00114797,-0.000337316,-1.0175,0.000990645,0.00989634,9.99969,9.98979
111,1.74E-09,1.97E-09,2.19E-12,-0.180087,0.296783,-0.636902,-0.000297285,0.00111477,-0.000243794,0.0011408,-0.000323311,-0.982585,0.0010262,0.0102515,10,9.98979
112,1.74E-09,1.97E-09,2.19E-12,-0.179684,0.29789,-0.635713,-0.000304808,0.0011345,-0.000259703,0.00116566,-0.000335966,-0.916654,0.00103729,0.0103623,10.0002,9.98979
113,1.74E-09,1.97E-09,2.19E-12,-0.179413,0.298509,-0.637291,-0.000335232,0.0011761,-0.000204967,0.0011993,-0.000358438,-0.704881,0.00110991,0.0110878,10.0009,9.98979
114,1.74E-09,1.97E-09,2.19E-12,-0.181102,0.302058,-0.642868,-0.000312144,0.00120197,-0.0002267,0.00122785,-0.000338025,-0.874389,0.00106667,0.0106559,10.0004,9.98979
115,1.74E-09,1.97E-09,2.19E-12,-0.179276,0.300035,-0.638995,-0.000323043,0.00121807,-0.000271461,0.00124431,-0.000349286,-0.97331,0.0011121,0.0111097,10.0009,9.98979
116,1.74E-09,1.97E-09,2.19E-12,-0.179492,0.302186,-0.638582,-0.000349391,0.00125128,-0.000277137,0.00128083,-0.000378942,-0.992358,0.00110211,0.0110098,10.0008,9.98979
117,1.74E-09,1.97E-09,2.19E-12,-0.182327,0.303865,-0.635631,-0.000321949,0.00124097,-0.000219801,0.00126281,-0.000343791,-0.822684,0.00113949,0.0113833,10.0012,9.98979
