Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1,cDAQ1Mod1/ai0,cDAQ1Mod1/ai1,cDAQ1Mod1/ai2,cDAQ1Mod1/ai3,Load,,,
68,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000068_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000068_1.tif,64.102799,64.103093,0.188819,-10.383721,-10.430638,-10.389762,0.568548,0.000000,0.000000,0.000000
69,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000069_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000069_1.tif,64.602769,64.603078,0.193283,-10.383721,-10.430638,-10.389762,0.581661,0.000000,0.000000,0.000000
70,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000070_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000070_1.tif,65.102827,65.103099,0.197427,-10.383721,-10.430638,-10.389762,0.593837,0.000000,0.000000,0.000000
71,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000071_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000071_1.tif,65.602791,65.603172,0.202528,-10.383721,-10.430638,-10.389762,0.608824,0.000000,0.000000,0.000000
72,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000072_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000072_1.tif,66.102802,66.103116,0.208585,-10.383721,-10.430638,-10.389762,0.626620,0.000000,0.000000,0.000000
73,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000073_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000073_1.tif,66.602806,66.603207,0.214643,-10.383721,-10.430638,-10.389762,0.644417,0.000000,0.000000,0.000000
74,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000074_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000074_1.tif,67.102823,67.103106,0.215280,-10.383721,-10.430638,-10.389762,0.646290,0.000000,0.000000,0.000000
75,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000075_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000075_1.tif,67.602716,67.603000,0.222932,-10.383721,-10.430638,-10.389762,0.668769,0.000000,0.000000,0.000000
76,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000076_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000076_1.tif,68.102849,68.103125,0.228670,-10.383721,-10.430638,-10.389762,0.685629,0.000000,0.000000,0.000000
77,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000077_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000077_1.tif,68.602807,68.603147,0.234727,-10.383721,-10.430638,-10.389762,0.703426,0.000000,0.000000,0.000000
78,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000078_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000078_1.tif,69.102788,69.103077,0.240147,-10.383721,-10.430638,-10.389762,0.719349,0.000000,0.000000,0.000000
79,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000079_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000079_1.tif,69.602845,69.603136,0.246523,-10.383721,-10.430638,-10.389762,0.738082,0.000000,0.000000,0.000000
80,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000080_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000080_1.tif,70.102808,70.103115,0.251943,-10.383721,-10.430638,-10.389762,0.754005,0.000000,0.000000,0.000000
81,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000081_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000081_1.tif,70.602761,70.603166,0.257044,-10.383721,-10.430638,-10.389762,0.768991,0.000000,0.000000,0.000000
82,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000082_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000082_1.tif,71.102857,71.103214,0.262782,-10.383721,-10.430638,-10.389762,0.785851,0.000000,0.000000,0.000000
83,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000083_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000083_1.tif,71.602864,71.603055,0.266927,-10.383721,-10.430638,-10.389762,0.798028,0.000000,0.000000,0.000000
84,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000084_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000084_1.tif,72.102795,72.103124,0.271709,-10.383721,-10.430638,-10.389762,0.812077,0.000000,0.000000,0.000000
85,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000085_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000085_1.tif,72.602848,72.603155,0.276491,-10.383721,-10.430638,-10.389762,0.826127,0.000000,0.000000,0.000000
86,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000086_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000086_1.tif,73.102856,73.103110,0.283823,-10.383721,-10.430638,-10.389762,0.847670,0.000000,0.000000,0.000000
87,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000087_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000087_1.tif,73.602837,73.603160,0.289243,-10.383721,-10.430638,-10.389762,0.863593,0.000000,0.000000,0.000000
88,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000088_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000088_1.tif,74.102881,74.103245,0.293706,-10.383721,-10.430638,-10.389762,0.876706,0.000000,0.000000,0.000000
